Sample ID	Sample name	Site subtype 1	Site subtype 2	Site subtype 3	Primary histology	Histology subtype 1	Histology subtype 2	Histology subtype 3
Sample_1	20	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_2	1604875	mouth	lip	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_3	19	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_4	18	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_5	14	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_6	6	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_7	15	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_8	13	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_9	11	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_10	7	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_11	2521249	mouth	lip	NS	carcinoma	basal_cell_carcinoma	NS	NS
Sample_12	9	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_13	388	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_14	93VU147T	head_neck	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_15	ORL-48	head_neck	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_16	ORL-214	mouth	buccal_mucosa	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_17	2	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_18	10	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_19	41T	mouth	gingiva	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_20	7T	mouth	gingiva	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_21	16	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_22	SCC-15	head_neck	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_23	HN_62421	pharynx	hypopharynx	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_24	UD-SCC-2	head_neck	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_25	SJG-028	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_26	SJG-042	mouth	mouth_roof	NS	carcinoma	squamous_cell_carcinoma	NS	NS
Sample_27	SJG-041	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS
